carat,cut,color,clarity,price,cut_label,clarity_label
0.23,Ideal,2,SI2,326.0,2,3
0.21,Premium,2,SI1,326.0,3,2
0.23,Good,2,VS1,327.0,1,4
0.29,Premium,6,VS2,334.0,3,5
0.31,Good,7,SI2,335.0,1,3
0.24,Very Good,7,VVS2,336.0,4,7
0.24,Very Good,6,VVS1,336.0,4,6
0.26,Very Good,5,SI1,337.0,4,2
0.22,Fair,2,VS2,337.0,0,5
0.23,Very Good,5,VS1,338.0,4,4
0.3,Good,7,SI1,339.0,1,2
0.23,Ideal,7,VS1,340.0,2,4
0.22,Premium,3,SI1,342.0,3,2
0.31,Ideal,7,SI2,344.0,2,3
0.2,Premium,2,SI2,345.0,3,3
0.32,Premium,2,I1,345.0,3,0
0.3,Ideal,6,SI2,348.0,2,3
0.3,Good,7,SI1,351.0,1,2
0.3,Very Good,7,SI1,351.0,4,2
0.3,Good,6,SI2,351.0,1,3
0.23,Very Good,2,VS2,352.0,4,5
0.23,Very Good,5,VS1,353.0,4,4
0.31,Very Good,7,SI1,353.0,4,2
0.23,Very Good,4,VVS2,354.0,4,7
0.24,Premium,6,VS1,355.0,3,4
0.3,Very Good,7,VS2,357.0,4,5
0.23,Very Good,1,VS2,357.0,4,5
0.23,Very Good,3,VS1,357.0,4,4
0.23,Very Good,3,VS1,402.0,4,4
0.23,Very Good,2,VS1,402.0,4,4
0.23,Very Good,1,VS1,402.0,4,4
0.23,Good,3,VS1,402.0,1,4
0.23,Good,2,VS1,402.0,1,4
0.31,Good,5,SI1,402.0,1,2
0.26,Very Good,1,VS2,403.0,4,5
0.33,Ideal,6,SI2,403.0,2,3
0.33,Ideal,7,SI1,403.0,2,2
0.26,Good,1,VS2,403.0,1,5
0.26,Good,1,VS1,403.0,1,4
0.32,Good,5,SI2,403.0,1,3
0.29,Premium,3,SI1,403.0,3,2
0.32,Very Good,5,SI2,403.0,4,3
0.25,Very Good,2,VS2,404.0,4,5
0.29,Very Good,5,SI2,404.0,4,3
0.24,Very Good,3,SI1,404.0,4,2
0.23,Ideal,4,VS1,404.0,2,4
0.32,Ideal,6,SI1,404.0,2,2
0.22,Premium,2,VS2,404.0,3,5
0.22,Premium,1,VS2,404.0,3,5
0.3,Ideal,6,SI2,405.0,2,3
0.3,Premium,7,SI2,405.0,3,3
0.3,Very Good,6,SI1,405.0,4,2
0.3,Good,6,SI1,405.0,1,2
0.35,Ideal,6,VS1,552.0,2,4
0.3,Premium,1,SI1,552.0,3,2
0.3,Ideal,1,SI1,552.0,2,2
0.42,Premium,6,SI2,552.0,3,3
0.28,Ideal,4,VVS2,553.0,2,7
0.32,Ideal,6,VVS1,553.0,2,6
0.31,Very Good,4,SI1,553.0,4,2
0.31,Premium,4,SI1,553.0,3,2
0.24,Premium,2,VVS1,553.0,3,6
0.24,Very Good,1,VVS1,553.0,4,6
0.3,Very Good,5,SI1,554.0,4,2
0.3,Premium,5,SI1,554.0,3,2
0.3,Good,5,SI1,554.0,1,2
0.26,Very Good,3,VVS2,554.0,4,7
0.26,Very Good,2,VVS2,554.0,4,7
0.26,Very Good,1,VVS2,554.0,4,7
0.26,Very Good,2,VVS1,554.0,4,6
0.26,Very Good,1,VVS1,554.0,4,6
0.26,Ideal,2,VVS2,554.0,2,7
0.38,Ideal,6,SI2,554.0,2,3
0.26,Good,2,VVS1,554.0,1,6
0.24,Premium,4,VVS1,554.0,3,6
0.24,Premium,5,VVS1,554.0,3,6
0.24,Premium,5,VVS2,554.0,3,7
0.32,Premium,6,SI1,554.0,3,2
0.7,Ideal,2,SI1,2757.0,2,2
0.86,Fair,2,SI2,2757.0,0,3
0.7,Ideal,4,VS2,2757.0,2,5
0.71,Very Good,2,VS2,2759.0,4,5
0.78,Very Good,4,SI2,2759.0,4,3
0.7,Good,2,VS2,2759.0,1,5
0.7,Good,3,VS1,2759.0,1,4
0.96,Fair,3,SI2,2759.0,0,3
0.73,Very Good,2,SI1,2760.0,4,2
0.8,Premium,5,SI1,2760.0,3,2
0.75,Very Good,1,SI1,2760.0,4,2
0.75,Premium,2,SI1,2760.0,3,2
0.74,Ideal,4,SI1,2760.0,2,2
0.75,Premium,4,VS2,2760.0,3,5
0.8,Ideal,6,VS1,2760.0,2,4
0.75,Ideal,4,SI1,2760.0,2,2
0.8,Premium,4,SI1,2760.0,3,2
0.74,Ideal,6,VVS2,2761.0,2,7
0.81,Ideal,3,SI2,2761.0,2,3
0.59,Ideal,2,VVS2,2761.0,2,7
0.8,Ideal,3,SI2,2761.0,2,3
0.74,Ideal,2,SI2,2761.0,2,3
0.9,Premium,6,VS2,2761.0,3,5
0.74,Very Good,4,SI1,2762.0,4,2
0.73,Ideal,3,VS2,2762.0,2,5
0.8,Premium,3,SI2,2762.0,3,3
0.71,Ideal,4,VS2,2762.0,2,5
0.7,Ideal,2,VS2,2762.0,2,5
0.8,Ideal,3,SI2,2762.0,2,3
0.71,Ideal,1,SI2,2762.0,2,3
0.74,Ideal,2,SI1,2762.0,2,2
0.7,Very Good,3,VS2,2762.0,4,5
0.7,Fair,3,VS2,2762.0,0,5
0.7,Premium,3,VS2,2762.0,3,5
0.91,Premium,5,SI1,2763.0,3,2
0.61,Very Good,1,VVS2,2763.0,4,7
0.91,Fair,5,SI2,2763.0,0,3
0.77,Ideal,5,VS2,2763.0,2,5
0.71,Very Good,1,SI1,2764.0,4,2
0.71,Ideal,1,SI1,2764.0,2,2
0.7,Very Good,2,VS2,2765.0,4,5
0.77,Very Good,5,VS1,2765.0,4,4
0.63,Premium,2,VVS1,2765.0,3,6
0.71,Very Good,3,VS1,2765.0,4,4
0.71,Premium,3,VS1,2765.0,3,4
0.76,Ideal,5,SI1,2765.0,2,2
0.64,Ideal,4,VVS1,2766.0,2,6
0.71,Premium,4,VS2,2766.0,3,5
0.7,Very Good,1,VS2,2767.0,4,5
0.7,Very Good,3,VS1,2767.0,4,4
0.71,Ideal,1,SI2,2767.0,2,3
0.7,Good,5,VVS2,2767.0,1,7
0.71,Very Good,4,VS1,2768.0,4,4
0.73,Very Good,1,SI1,2768.0,4,2
0.7,Very Good,1,SI1,2768.0,4,2
0.7,Ideal,2,SI1,2768.0,2,2
0.71,Premium,1,SI2,2768.0,3,3
0.74,Ideal,6,SI1,2769.0,2,2
0.71,Premium,1,VS2,2770.0,3,5
0.73,Premium,4,VS2,2770.0,3,5
0.76,Very Good,3,SI1,2770.0,4,2
0.76,Ideal,1,SI2,2770.0,2,3
0.71,Ideal,3,SI1,2770.0,2,2
0.73,Premium,4,VS1,2770.0,3,4
0.73,Ideal,1,SI2,2770.0,2,3
0.72,Very Good,5,VVS2,2771.0,4,7
0.73,Very Good,3,SI1,2771.0,4,2
0.71,Ideal,4,VS2,2771.0,2,5
0.79,Ideal,3,SI2,2771.0,2,3
0.73,Very Good,5,VVS1,2772.0,4,6
0.8,Very Good,3,SI2,2772.0,4,3
0.58,Ideal,4,VVS1,2772.0,2,6
0.58,Ideal,3,VVS1,2772.0,2,6
0.71,Good,2,VS2,2772.0,1,5
0.75,Ideal,1,SI2,2773.0,2,3
0.7,Premium,1,VS2,2773.0,3,5
1.17,Very Good,7,I1,2774.0,4,0
0.6,Ideal,2,VS1,2774.0,2,4
0.7,Ideal,2,SI1,2774.0,2,2
0.83,Good,6,VS2,2774.0,1,5
0.74,Very Good,3,VS2,2775.0,4,5
0.72,Very Good,4,VS2,2776.0,4,5
0.71,Premium,2,VS2,2776.0,3,5
0.71,Ideal,2,VS2,2776.0,2,5
0.54,Ideal,2,VVS2,2776.0,2,7
0.72,Ideal,4,SI1,2776.0,2,2
0.72,Good,4,VS2,2776.0,1,5
0.71,Ideal,4,SI1,2776.0,2,2
0.7,Very Good,1,VS1,2777.0,4,4
0.71,Premium,3,VS2,2777.0,3,5
0.71,Very Good,3,VS2,2777.0,4,5
0.71,Good,3,VS2,2777.0,1,5
0.7,Ideal,2,VS2,2777.0,2,5
0.7,Premium,2,VS2,2777.0,3,5
0.7,Premium,2,SI1,2777.0,3,2
0.7,Ideal,2,SI1,2777.0,2,2
0.72,Premium,3,SI1,2777.0,3,2
0.7,Very Good,2,SI1,2777.0,4,2
0.7,Good,2,VS2,2777.0,1,5
0.98,Fair,5,SI2,2777.0,0,3
0.78,Premium,3,SI1,2777.0,3,2
0.52,Ideal,3,VVS1,2778.0,2,6
0.73,Very Good,5,VS2,2779.0,4,5
0.74,Ideal,2,SI1,2779.0,2,2
0.7,Very Good,3,VS2,2780.0,4,5
0.77,Premium,4,VS2,2780.0,3,5
0.71,Ideal,3,VS2,2780.0,2,5
0.74,Ideal,4,VS1,2780.0,2,4
0.7,Ideal,4,VS1,2780.0,2,4
1.01,Premium,3,I1,2781.0,3,0
0.77,Ideal,5,SI1,2781.0,2,2
0.78,Ideal,5,SI1,2781.0,2,2
0.72,Very Good,5,VS1,2782.0,4,4
0.53,Very Good,1,VVS2,2782.0,4,7
0.76,Ideal,4,VS2,2782.0,2,5
0.7,Good,2,VS1,2782.0,1,4
